p(MPa),E(MPa),rho(mg/mm3)
0.0,1538.40,0.80429
0.1,1538.86,0.80434
0.2,1539.33,0.80439
0.3,1539.81,0.80444
0.4,1540.30,0.80450
0.5,1540.80,0.80455
0.6,1541.30,0.80460
0.7,1541.81,0.80465
0.8,1542.31,0.80470
0.9,1542.81,0.80476
1.0,1543.30,0.80481
1.1,1543.78,0.80486
1.2,1544.26,0.80491
1.3,1544.74,0.80496
1.4,1545.21,0.80502
1.5,1545.70,0.80507
1.6,1546.20,0.80512
1.7,1546.70,0.80517
1.8,1547.20,0.80523
1.9,1547.70,0.80528
2.0,1548.20,0.80533
2.1,1548.69,0.80538
2.2,1549.17,0.80543
2.3,1549.64,0.80549
2.4,1550.12,0.80554
2.5,1550.60,0.80559
2.6,1551.09,0.80564
2.7,1551.59,0.80569
2.8,1552.09,0.80574
2.9,1552.59,0.80580
3.0,1553.10,0.80585
3.1,1553.61,0.80590
3.2,1554.11,0.80595
3.3,1554.61,0.80600
3.4,1555.11,0.80606
3.5,1555.60,0.80611
3.6,1556.08,0.80616
3.7,1556.56,0.80621
3.8,1557.04,0.80626
3.9,1557.52,0.80632
4.0,1558.00,0.80637
4.1,1558.49,0.80642
4.2,1558.99,0.80647
4.3,1559.49,0.80652
4.4,1560.00,0.80657
4.5,1560.50,0.80663
4.6,1561.00,0.80668
4.7,1561.50,0.80673
4.8,1562.00,0.80678
4.9,1562.50,0.80683
5.0,1563.00,0.80688
5.1,1563.50,0.80694
5.2,1564.00,0.80699
5.3,1564.50,0.80704
5.4,1565.00,0.80709
5.5,1565.50,0.80714
5.6,1566.00,0.80719
5.7,1566.50,0.80724
5.8,1567.00,0.80730
5.9,1567.50,0.80735
6.0,1568.00,0.80740
6.1,1568.50,0.80745
6.2,1569.00,0.80750
6.3,1569.50,0.80755
6.4,1570.00,0.80761
6.5,1570.50,0.80766
6.6,1571.00,0.80771
6.7,1571.50,0.80776
6.8,1572.00,0.80781
6.9,1572.50,0.80786
7.0,1573.00,0.80791
7.1,1573.50,0.80797
7.2,1574.00,0.80802
7.3,1574.50,0.80807
7.4,1575.00,0.80812
7.5,1575.50,0.80817
7.6,1576.00,0.80822
7.7,1576.49,0.80827
7.8,1576.99,0.80832
7.9,1577.49,0.80838
8.0,1578.00,0.80843
8.1,1578.52,0.80848
8.2,1579.04,0.80853
8.3,1579.56,0.80858
8.4,1580.08,0.80863
8.5,1580.60,0.80868
8.6,1581.11,0.80873
8.7,1581.61,0.80879
8.8,1582.11,0.80884
8.9,1582.61,0.80889
9.0,1583.10,0.80894
