Epoch 0,	 train_loss 0.000630	train_ratio 0.436806	eval_loss: 0.035077	eval_ratio: 0.4959605026929982
Epoch 1,	 train_loss 0.000546	train_ratio 0.496157	eval_loss: 0.033341	eval_ratio: 0.5350089766606823
Epoch 2,	 train_loss 0.000526	train_ratio 0.521349	eval_loss: 0.031647	eval_ratio: 0.5596947935368043
Epoch 3,	 train_loss 0.000502	train_ratio 0.526900	eval_loss: 0.030783	eval_ratio: 0.5673249551166966
Epoch 4,	 train_loss 0.000490	train_ratio 0.523484	eval_loss: 0.030789	eval_ratio: 0.5574506283662477
Epoch 5,	 train_loss 0.000480	train_ratio 0.545687	eval_loss: 0.029802	eval_ratio: 0.572262118491921
Epoch 6,	 train_loss 0.000468	train_ratio 0.541418	eval_loss: 0.029497	eval_ratio: 0.5731597845601436
Epoch 7,	 train_loss 0.000464	train_ratio 0.546968	eval_loss: 0.029050	eval_ratio: 0.578096947935368
Epoch 8,	 train_loss 0.000454	train_ratio 0.552946	eval_loss: 0.028857	eval_ratio: 0.5771992818671454
Epoch 9,	 train_loss 0.000453	train_ratio 0.541845	eval_loss: 0.029536	eval_ratio: 0.5686714542190305
Epoch 10,	 train_loss 0.000451	train_ratio 0.556789	eval_loss: 0.028434	eval_ratio: 0.5839317773788151
Epoch 11,	 train_loss 0.000440	train_ratio 0.570453	eval_loss: 0.028459	eval_ratio: 0.585278276481149
Epoch 12,	 train_loss 0.000437	train_ratio 0.558497	eval_loss: 0.028634	eval_ratio: 0.5812387791741472
Epoch 13,	 train_loss 0.000431	train_ratio 0.570453	eval_loss: 0.028187	eval_ratio: 0.5888689407540395
Epoch 14,	 train_loss 0.000427	train_ratio 0.585824	eval_loss: 0.027858	eval_ratio: 0.5906642728904847
Epoch 15,	 train_loss 0.000424	train_ratio 0.596926	eval_loss: 0.028305	eval_ratio: 0.5920107719928187
Epoch 16,	 train_loss 0.000422	train_ratio 0.591375	eval_loss: 0.028362	eval_ratio: 0.5866247755834829
Epoch 17,	 train_loss 0.000424	train_ratio 0.573015	eval_loss: 0.028217	eval_ratio: 0.5839317773788151
Epoch 18,	 train_loss 0.000415	train_ratio 0.584543	eval_loss: 0.027425	eval_ratio: 0.5929084380610413
Epoch 19,	 train_loss 0.000411	train_ratio 0.602050	eval_loss: 0.027885	eval_ratio: 0.6009874326750448
Epoch 20,	 train_loss 0.000407	train_ratio 0.591375	eval_loss: 0.027508	eval_ratio: 0.5973967684021544
Epoch 21,	 train_loss 0.000413	train_ratio 0.587532	eval_loss: 0.027500	eval_ratio: 0.5875224416517055
Epoch 22,	 train_loss 0.000405	train_ratio 0.600342	eval_loss: 0.027311	eval_ratio: 0.5987432675044884
Epoch 23,	 train_loss 0.000398	train_ratio 0.591802	eval_loss: 0.027394	eval_ratio: 0.5942549371633752
Epoch 24,	 train_loss 0.000400	train_ratio 0.611016	eval_loss: 0.027503	eval_ratio: 0.5960502692998204
Epoch 25,	 train_loss 0.000397	train_ratio 0.616567	eval_loss: 0.027547	eval_ratio: 0.6009874326750448
Epoch 26,	 train_loss 0.000395	train_ratio 0.612297	eval_loss: 0.027155	eval_ratio: 0.5969479353680431
Epoch 27,	 train_loss 0.000392	train_ratio 0.597353	eval_loss: 0.027548	eval_ratio: 0.5897666068222621
Epoch 28,	 train_loss 0.000390	train_ratio 0.599915	eval_loss: 0.027397	eval_ratio: 0.5938061041292639
Epoch 29,	 train_loss 0.000386	train_ratio 0.624680	eval_loss: 0.027274	eval_ratio: 0.6063734290843806
